Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,37.000000,37.680000,35.669998,36.330002,33.300861,64558100
2022-11-11,36.310001,36.650002,35.360001,35.520000,32.558399,54156800
2022-11-14,36.000000,36.799999,35.650002,36.400002,33.365028,23033900
2022-11-16,35.759998,36.040001,35.070000,35.250000,32.310905,22549600
2022-11-17,35.020000,35.220001,33.639999,34.500000,31.623442,40132700
2022-11-18,34.570000,35.299999,34.099998,34.380001,31.513447,22645200
2022-11-21,34.529999,35.419998,34.209999,35.200001,32.265076,21382900
2022-11-22,34.590000,34.910000,33.820000,34.040001,31.353409,13218800
2022-11-23,33.799999,34.529999,33.509998,34.459999,31.740257,13324500
2022-11-24,34.590000,35.950001,34.349998,35.020000,32.256062,10819700
2022-11-25,35.110001,35.230000,33.919998,34.209999,31.509989,9592300
2022-11-28,34.389999,35.200001,34.099998,34.830002,32.081059,8237300
2022-11-29,35.000000,35.730000,34.590000,35.250000,32.467903,9135200
2022-11-30,35.419998,35.810001,34.700001,35.279999,32.495533,12799000
2022-12-01,35.119999,35.560001,34.720001,35.240002,32.458702,9118400
2022-12-02,35.529999,36.720001,35.110001,36.029999,33.186344,13806400
2022-12-05,35.950001,35.959999,35.020000,35.200001,32.421848,10360600
2022-12-06,35.389999,35.560001,35.090000,35.560001,32.753441,8629400
2022-12-07,35.599998,35.939999,35.480000,35.480000,32.679749,6603300
2022-12-08,35.480000,35.959999,34.810001,35.029999,32.265266,12269100
2022-12-09,35.090000,35.180000,34.590000,34.980000,32.219219,7031900
2022-12-12,34.900002,35.389999,33.209999,33.790001,31.123137,26554200
2022-12-13,33.810001,33.950001,31.860001,31.860001,29.648640,21854900
2022-12-14,31.500000,31.570000,30.250000,31.070000,28.913473,40011200
2022-12-15,30.719999,32.529999,30.510000,31.950001,29.732389,47466100
2022-12-16,32.000000,32.759998,31.780001,32.599998,30.337275,21848400
2022-12-19,32.709999,33.450001,32.509998,32.950001,30.662983,15579000
2022-12-20,32.939999,34.160000,32.630001,33.799999,31.453981,13249000
2022-12-21,34.099998,34.459999,33.750000,34.119999,31.751774,8747500
2022-12-22,34.320000,34.840000,33.910000,34.430000,32.040260,7398300
2022-12-23,34.529999,35.639999,34.529999,35.279999,32.831253,8744400
2022-12-26,35.570000,35.570000,34.740002,35.230000,32.784729,4552700
2022-12-27,35.450001,35.450001,33.900002,34.060001,31.695944,8865800
2022-12-28,34.099998,34.799999,33.619999,34.669998,32.263592,10725200
2022-12-29,34.830002,35.040001,34.400002,34.730000,32.319435,9336500
2023-01-02,34.220001,34.220001,32.900002,33.259998,30.951464,11778500
2023-01-03,33.259998,33.400002,32.419998,32.639999,30.374498,10773700
2023-01-04,32.830002,33.259998,32.560001,33.060001,30.765350,9759500
2023-01-05,33.290001,34.740002,33.080002,34.570000,32.170540,16968800
2023-01-06,34.650002,35.270000,34.439999,35.049999,32.617222,14752300
2023-01-09,34.730000,35.049999,34.480000,34.709999,32.300819,10013600
2023-01-10,34.500000,35.480000,34.330002,35.299999,32.849869,9654800
2023-01-11,35.299999,35.849998,35.060001,35.799999,33.315159,14542400
2023-01-12,35.570000,35.869999,35.009998,35.570000,33.101131,10086600
2023-01-13,35.500000,35.849998,34.950001,35.650002,33.175579,10043500
2023-01-16,35.660000,36.119999,35.320000,35.610001,33.138355,9218900
2023-01-17,35.790001,37.700001,35.540001,37.700001,35.083290,26060500
2023-01-18,38.049999,38.869999,37.889999,38.240002,35.585812,23234600
2023-01-19,38.000000,39.320000,37.549999,39.110001,36.395432,23412100
2023-01-20,39.209999,40.299999,39.110001,40.070000,37.288792,30711200
2023-01-23,40.070000,41.250000,39.130001,39.770000,37.009617,29114500
2023-01-24,39.770000,40.389999,39.279999,39.570000,36.823498,16577900
2023-01-25,39.410000,40.990002,38.869999,40.650002,37.828537,15233000
2023-01-26,40.779999,41.480000,40.570000,40.630001,37.809925,13150700
2023-01-27,40.919998,40.959999,39.689999,40.180000,37.391155,12428300
2023-01-30,40.400002,40.910000,40.060001,40.810001,37.977432,14247900
2023-01-31,40.950001,41.200001,40.419998,40.700001,37.875065,14784600
2023-02-01,40.750000,41.049999,39.849998,40.209999,37.419079,13155700
2023-02-02,40.009998,41.150002,39.250000,39.450001,36.711826,18524300
2023-02-03,39.650002,39.939999,38.900002,39.200001,36.479179,12167400
2023-02-06,39.070000,39.720001,38.619999,39.419998,36.683910,13656900
2023-02-07,39.590000,39.680000,38.459999,38.880001,36.181389,12441900
2023-02-08,39.169998,39.950001,38.910000,39.799999,37.037529,22242800
